Player ID,ID,Name,Earnings (Year),Earnings (Overall),,Year
1,Finland JerAx,Jesse Vainikka,"$3,163,536.20","$6,486,948.78",48.77%,2019
2,France Ceb,Sébastien Debs,"$3,163,536.20","$5,824,509.40",54.31%,2019
3,Finland Topson,Topias Taavitsainen,"$3,163,536.20","$5,699,189.00",55.51%,2019
4,Denmark N0tail,Johan Sundstein,"$3,155,536.20","$7,184,163.05",43.92%,2019
5,Australia ana,Anathan Pham,"$3,146,536.20","$6,024,411.96",52.23%,2019
6,United States Bugha,Kyle Giersdorf,"$3,071,591.67","$3,533,411.72",86.93%,2019
7,Austria Aqua,David Wang,"$1,826,620.21","$2,187,649.23",83.50%,2019
8,United States psalm,Harrison Chang,"$1,823,750.00","$1,959,500.00",93.07%,2019
9,Norway Nyhrox,Emil Bergquist Pedersen,"$1,520,286.19","$1,541,795.69",98.60%,2019
10,United States EpikWhale,Shane Cotton,"$1,314,366.67","$1,725,883.99",76.16%,2019
11,United Kingdom Wolfiez,Jaden Ashman,"$1,188,076.67","$1,360,708.07",87.31%,2019
12,Netherlands Rojo,Dave Jong,"$1,180,543.33","$1,215,593.33",97.12%,2019
13,United States Kreo,Nate Kou,"$1,089,275.00","$1,241,234.74",87.76%,2019
14,United States Ceice,Davis McClellan,"$1,012,225.00","$1,177,815.47",85.94%,2019
15,Argentina k1nG,Thiago Bautista Lapp,"$1,010,550.00","$1,147,550.00",88.06%,2019
16,"Taiwan, Republic of China sasamumu",- -,"$1,000,000.00","$1,000,000.00",100.00%,2019
17,Germany KuroKy,Kuro Takhasomi,"$999,081.60","$5,288,547.73",18.89%,2019
18,Bulgaria MinD_ContRoL,Ivan Ivanov,"$999,081.60","$4,677,559.74",21.36%,2019
19,Lebanon GH,Maroun Merhej,"$999,081.60","$4,286,854.27",23.31%,2019
20,Jordan Miracle-,Amer Al-Barkawi,"$991,081.60","$4,885,085.26",20.29%,2019
21,Canada Zayt,Williams Aubin,"$962,950.00","$1,333,631.42",72.21%,2019
22,United States Elevate,Hayden Krueger,"$959,025.00","$994,373.20",96.45%,2019
23,United States Saf,Rocco Morales,"$954,625.00","$1,206,237.02",79.14%,2019
24,Romania w33,Aliwi Omar,"$936,081.60","$2,294,075.43",40.80%,2019
25,France Skite,Clément Danglot,"$734,038.28","$870,911.02",84.28%,2019
26,Sweden Crue,Theo Ferrer,"$713,900.00","$723,500.00",98.67%,2019
27,China Ame,"Wang, Chunyu","$681,941.20","$3,912,904.27",17.43%,2019
28,China fy,"Xu, Linsen","$681,941.20","$3,064,366.38",22.25%,2019
29,Malaysia xNova,"Yap, Jianwei","$681,941.20","$2,039,485.72",33.44%,2019
30,China Chalice,"Yang, Shenyi","$681,941.20","$1,999,742.62",34.10%,2019
31,China Somnus,"Lu, Yao","$669,941.20","$3,272,151.12",20.47%,2019
32,Estonia Puppey,Clement Ivanov,"$626,760.80","$4,222,572.80",14.84%,2019
33,Sweden Zai,Ludwig Wåhlberg,"$624,960.80","$3,735,937.69",16.73%,2019
34,Poland Nisha,Michał Jankowski,"$624,960.80","$2,367,218.95",26.40%,2019
35,Malaysia MidOne,"Zheng, Yeik Nai","$624,960.80","$1,829,763.44",34.16%,2019
36,Jordan YapzOr,Yazied Jaradat,"$620,960.80","$2,297,190.64",27.03%,2019
37,United Kingdom Mongraal,Kyle Jackson,"$607,475.70","$708,754.23",85.71%,2019
38,"Korea, Republic of Pio","Cha, Seung Hoon","$586,003.41","$928,469.14",63.12%,2019
39,"Korea, Republic of Loki","Park, Jung Young","$575,353.31","$999,130.89",57.59%,2019
40,"Korea, Republic of ESTH3R","Go, Jeong-wan","$552,176.28","$909,161.56",60.73%,2019
41,"Korea, Republic of Taemin","Kang, Tae Min","$552,176.28","$602,547.21",91.64%,2019
42,United States Arkhram,Diego Lima,"$545,300.00","$784,528.35",69.51%,2019
43,China Ori,"Zeng, Jiaoyang","$506,933.50","$1,464,226.66",34.62%,2019
44,China Paparazi,"Zhang, Chengjun","$506,933.50","$1,216,751.39",41.66%,2019
45,China Yang,"Zhou, Haiyang","$506,933.50","$991,771.05",51.11%,2019
46,China Dy,"Ding, Cong","$506,933.50","$972,712.36",52.12%,2019
47,United States Stewie2k,Jakey Yip,"$482,700.00","$1,188,223.20",40.62%,2019
48,United States Falconer,Brendan Falconer,"$478,200.00","$516,250.00",92.63%,2019
49,Canada Twistzz,Russel Van Dulken,"$477,850.00","$1,528,593.10",31.26%,2019
50,Canada NAF,Keith Markovic,"$477,850.00","$1,217,282.06",39.26%,2019
51,United States ELiGE,Jonathan Jablonowski,"$477,850.00","$1,167,062.82",40.94%,2019
52,United States nitr0,Nicholas Cannella,"$477,850.00","$1,102,508.13",43.34%,2019
53,China HuaHai,"Luo, Siyuan","$475,717.32","$1,635,144.19",29.09%,2019
54,China Alan,"Wang, Tianlong","$475,717.32","$1,506,325.15",31.58%,2019
55,China NuoYan,"Guo, Guixin","$475,717.32","$936,179.08",50.81%,2019
56,China Cat,"Chen, Zhengzheng","$475,717.32","$747,426.62",63.65%,2019
57,China Wuming,"Zhang, Cong","$475,717.32","$746,869.58",63.69%,2019
58,Austria stompy,Klaus Konstanzer,"$465,487.94","$629,021.94",74.00%,2019
59,Netherlands Mitr0,Dmitri Van de Vrie,"$463,310.34","$823,744.81",56.24%,2019
60,"Korea, Republic of Jinsoo","Park, Jin Soo","$450,254.94","$467,754.94",96.26%,2019
61,United States Dubs,Daniel Walsh,"$441,391.67","$539,109.99",81.87%,2019
62,China Fade,"Pan, Yi","$432,550.60","$680,524.49",63.56%,2019
63,France Nayte,Nathan Berquignol,"$432,145.10","$558,401.11",77.39%,2019
64,Denmark Xyp9x,Andreas Højsleth,"$431,100.00","$1,998,983.46",21.57%,2019
65,Denmark dupreeh,Peter Rasmussen,"$430,700.00","$2,164,164.40",19.90%,2019
66,Denmark gla1ve,Lukas Rossander,"$430,700.00","$1,871,967.40",23.01%,2019
67,Denmark Magisk,Emil Reif,"$430,700.00","$1,757,623.63",24.50%,2019
68,Denmark dev1ce,Nicolai Reedtz,"$427,700.00","$1,956,154.30",21.86%,2019
69,United Kingdom BenjyFishy,Benjy David Fish,"$401,236.39","$610,234.29",65.75%,2019
70,Philippines Tims,Timothy Randrup,"$366,370.40","$969,632.55",37.78%,2019
71,Philippines Armel,Armel Paul Tabios,"$366,370.40","$603,562.83",60.70%,2019
