Game,2019,2020,2021,2022,2023
Fortnite,126502656,53731549,101306583,70296392,42715772
League of Legends,98976171,99657869,170781975,184282005,126494155
Just Chatting,59064487,88378302,248144653,283669656,264212906
Dota 2,46512393,44025208,39545934,44366090,43317513
Counter-Strike: Global Offensive,30778297,33893286,60899705,40012823,39153067
PLAYERUNKNOWN'S BATTLEGROUNDS,29852076,18973733,11953142,0,0
Hearthstone,24477856,21222953,24208283,23783202,14337831
Overwatch,22499093,14476204,15430328,8979640,0
FIFA 19,18618028,0,0,0,0
World of Warcraft,18179362,27563181,44718092,22633405,34357942
Escape From Tarkov,8479535,72356308,110847591,93334264,113747925
Grand Theft Auto V,12142875,42646840,74060698,152328213,111789032
FIFA 20,0,23787522,0,0,0
Rust,2102879,0,190468488,63615081,20005535
Minecraft,10827913,18707737,80076090,60307178,72872812
Call of Duty: Warzone,0,0,80057408,44698842,39731854
FIFA 21,0,0,55385122,0,0
Escape from Tarkov,8479535,72356308,110847591,93334264,113747925
VALORANT,0,0,54529695,84354184,80943179
Apex Legends,0,13757762,36579530,63726123,35269630
FIFA 22,0,0,0,45366797,0
